#,Company,Symbol,Portfolio%,Price,Chg,% Chg
332,Hubbell Incorporated,HUBB,0.05%,388.00,-18.65,(-4.59%)
333,Baxter International Inc.,BAX,0.05%,42.03,0.20,(0.47%)
334,International Flavors & Fragrances Inc.,IFF,0.05%,82.08,-1.84,(-2.19%)
335,"Nasdaq, Inc.",NDAQ,0.05%,61.16,0.28,(0.46%)
336,Illumina Inc,ILMN,0.05%,138.50,5.31,(3.99%)
337,"Darden Restaurants, Inc.",DRI,0.05%,163.65,-10.93,(-6.26%)
338,Waters Corp,WAT,0.05%,345.53,-2.84,(-0.81%)
339,Eversource Energy,ES,0.05%,58.05,-1.16,(-1.96%)
340,Coterra Energy Inc.,CTRA,0.05%,27.27,0.14,(0.52%)
341,Ball Corporation,BALL,0.05%,65.58,0.33,(0.51%)
342,"The Cooper Companies, Inc.",COO,0.05%,101.47,-0.19,(-0.19%)
343,"Brown & Brown, Inc.",BRO,0.05%,85.61,-1.09,(-1.25%)
344,Invitation Homes Inc.,INVH,0.05%,34.84,-0.01,(-0.01%)
345,Ppl Corporation,PPL,0.05%,27.08,0.03,(0.11%)
346,Teledyne Technologies Incorporated,TDY,0.05%,423.39,-0.31,(-0.07%)
347,Firstenergy Corp.,FE,0.05%,38.30,0.04,(0.09%)
348,"Cboe Global Markets, Inc.",CBOE,0.04%,183.88,0.68,(0.37%)
349,"Alexandria Real Estate Equities, Inc.",ARE,0.04%,128.68,2.52,(2.00%)
350,Veralto Corporation,VLTO,0.04%,89.97,1.85,(2.10%)
351,Western Digital Corp.,WDC,0.04%,64.04,3.32,(5.47%)
352,Clorox Company,CLX,0.04%,147.77,-2.73,(-1.81%)
353,Jacobs Solutions Inc.,J,0.04%,151.53,0.92,(0.61%)
354,"Warner Bros. Discovery, Inc. Series a",WBD,0.04%,8.74,-0.00,(-0.02%)
355,Las Vegas Sands Corp.,LVS,0.04%,50.48,-0.09,(-0.18%)
356,Ameren Corporation,AEE,0.04%,71.90,-0.15,(-0.20%)
357,Huntington Bancshares Inc,HBAN,0.04%,13.56,0.23,(1.76%)
358,Cincinnati Financial Corp,CINF,0.04%,118.93,0.33,(0.27%)
